[Mon Jan 13 16:29:37 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:38 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:39 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:39 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:40 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:29:41 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:41 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:42 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:43 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:43 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:44 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:45 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:46 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:46 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:47 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:47 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:48 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:29:49 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:50 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:50 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:51 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:52 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:52 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:53 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:54 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:54 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:55 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:56 2025] >> ... 	>>> ~A7                                                          	>>> 0 [106, 189] 	[EQ in Cache]
[Mon Jan 13 16:29:56 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:57 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:58 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:59 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:29:59 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:00 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:01 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
[Mon Jan 13 16:30:01 2025] >> ... 	>>> 0                                                            	>>> 0 [106, 189] 	[NO EQ]
