[Thu Jun 27 13:52:19 2024] >> 
[Thu Jun 27 13:52:19 2024] >> PROGRAM START
[Thu Jun 27 13:52:19 2024] >> TRAIN FLAG: True
[Thu Jun 27 13:52:19 2024] >> DATA SET: Cifar100
[Thu Jun 27 13:52:26 2024] >> ---MAIN TRAINING---
[Thu Jun 27 13:52:26 2024] >> network: darknetCifar100
[Thu Jun 27 13:52:46 2024] >> training [000]: 0.0256
[Thu Jun 27 13:52:48 2024] >> testing accuracy: 0.0392
[Thu Jun 27 13:53:08 2024] >> training [001]: 0.0605
[Thu Jun 27 13:53:10 2024] >> testing accuracy: 0.0836
[Thu Jun 27 13:53:30 2024] >> training [002]: 0.0951
[Thu Jun 27 13:53:32 2024] >> testing accuracy: 0.1069
[Thu Jun 27 13:53:51 2024] >> training [003]: 0.1175
[Thu Jun 27 13:53:53 2024] >> testing accuracy: 0.1351
[Thu Jun 27 13:54:13 2024] >> training [004]: 0.1429
[Thu Jun 27 13:54:15 2024] >> testing accuracy: 0.1565
[Thu Jun 27 13:54:34 2024] >> training [005]: 0.1647
[Thu Jun 27 13:54:36 2024] >> testing accuracy: 0.181
[Thu Jun 27 13:54:56 2024] >> training [006]: 0.1817
[Thu Jun 27 13:54:58 2024] >> testing accuracy: 0.1971
[Thu Jun 27 13:55:17 2024] >> training [007]: 0.1987
[Thu Jun 27 13:55:19 2024] >> testing accuracy: 0.2136
[Thu Jun 27 13:55:40 2024] >> training [008]: 0.2189
[Thu Jun 27 13:55:42 2024] >> testing accuracy: 0.2229
[Thu Jun 27 13:56:03 2024] >> training [009]: 0.2314
[Thu Jun 27 13:56:05 2024] >> testing accuracy: 0.2516
[Thu Jun 27 13:56:25 2024] >> training [010]: 0.2447
[Thu Jun 27 13:56:27 2024] >> testing accuracy: 0.2568
[Thu Jun 27 13:56:47 2024] >> training [011]: 0.2567
[Thu Jun 27 13:56:49 2024] >> testing accuracy: 0.2717
[Thu Jun 27 13:57:09 2024] >> training [012]: 0.2719
[Thu Jun 27 13:57:11 2024] >> testing accuracy: 0.287
[Thu Jun 27 13:57:30 2024] >> training [013]: 0.2835
[Thu Jun 27 13:57:32 2024] >> testing accuracy: 0.2902
[Thu Jun 27 13:57:51 2024] >> training [014]: 0.2944
[Thu Jun 27 13:57:53 2024] >> testing accuracy: 0.2976
[Thu Jun 27 13:58:12 2024] >> training [015]: 0.3030
[Thu Jun 27 13:58:14 2024] >> testing accuracy: 0.3101
[Thu Jun 27 13:58:33 2024] >> training [016]: 0.3113
[Thu Jun 27 13:58:35 2024] >> testing accuracy: 0.315
[Thu Jun 27 13:58:54 2024] >> training [017]: 0.3234
[Thu Jun 27 13:58:56 2024] >> testing accuracy: 0.3186
[Thu Jun 27 13:59:19 2024] >> training [018]: 0.3276
