[Tue Jun 25 11:54:14 2024] >> 
[Tue Jun 25 11:54:14 2024] >> PROGRAM START
[Tue Jun 25 11:54:14 2024] >> TRAIN FLAG: True
[Tue Jun 25 11:54:14 2024] >> DATA SET: Cifar100
[Tue Jun 25 11:54:26 2024] >> ---MAIN TRAINING---
[Tue Jun 25 11:54:26 2024] >> network: darknetCifar100
[Tue Jun 25 11:54:46 2024] >> training [000]: 0.0716
[Tue Jun 25 11:54:48 2024] >> testing accuracy: 0.1136
[Tue Jun 25 11:55:06 2024] >> training [001]: 0.1354
[Tue Jun 25 11:55:08 2024] >> testing accuracy: 0.1542
[Tue Jun 25 11:55:27 2024] >> training [002]: 0.1810
[Tue Jun 25 11:55:29 2024] >> testing accuracy: 0.1819
[Tue Jun 25 11:55:48 2024] >> training [003]: 0.2159
[Tue Jun 25 11:55:50 2024] >> testing accuracy: 0.2245
[Tue Jun 25 11:56:09 2024] >> training [004]: 0.2477
[Tue Jun 25 11:56:11 2024] >> testing accuracy: 0.2451
[Tue Jun 25 11:56:30 2024] >> training [005]: 0.2771
[Tue Jun 25 11:56:32 2024] >> testing accuracy: 0.2788
[Tue Jun 25 11:56:52 2024] >> training [006]: 0.2978
[Tue Jun 25 11:56:54 2024] >> testing accuracy: 0.3042
[Tue Jun 25 11:57:13 2024] >> training [007]: 0.3203
[Tue Jun 25 11:57:14 2024] >> testing accuracy: 0.3164
[Tue Jun 25 11:57:33 2024] >> training [008]: 0.3376
[Tue Jun 25 11:57:35 2024] >> testing accuracy: 0.3267
[Tue Jun 25 11:57:54 2024] >> training [009]: 0.3539
[Tue Jun 25 11:57:56 2024] >> testing accuracy: 0.3619
[Tue Jun 25 11:58:15 2024] >> training [010]: 0.3688
[Tue Jun 25 11:58:17 2024] >> testing accuracy: 0.3653
[Tue Jun 25 11:58:36 2024] >> training [011]: 0.3816
[Tue Jun 25 11:58:38 2024] >> testing accuracy: 0.3789
[Tue Jun 25 11:58:56 2024] >> training [012]: 0.3950
[Tue Jun 25 11:58:58 2024] >> testing accuracy: 0.3874
[Tue Jun 25 11:59:17 2024] >> training [013]: 0.4066
[Tue Jun 25 11:59:19 2024] >> testing accuracy: 0.3907
[Tue Jun 25 11:59:38 2024] >> training [014]: 0.4146
[Tue Jun 25 11:59:40 2024] >> testing accuracy: 0.4007
[Tue Jun 25 11:59:59 2024] >> training [015]: 0.4302
[Tue Jun 25 12:00:01 2024] >> testing accuracy: 0.41
[Tue Jun 25 12:00:19 2024] >> training [016]: 0.4395
[Tue Jun 25 12:00:21 2024] >> testing accuracy: 0.3936
[Tue Jun 25 12:00:40 2024] >> training [017]: 0.4466
[Tue Jun 25 12:00:42 2024] >> testing accuracy: 0.422
[Tue Jun 25 12:01:00 2024] >> training [018]: 0.4582
[Tue Jun 25 12:01:02 2024] >> testing accuracy: 0.4286
[Tue Jun 25 12:01:21 2024] >> training [019]: 0.4679
[Tue Jun 25 12:01:23 2024] >> testing accuracy: 0.4254
[Tue Jun 25 12:01:41 2024] >> training [020]: 0.4742
[Tue Jun 25 12:01:43 2024] >> testing accuracy: 0.4359
[Tue Jun 25 12:02:02 2024] >> training [021]: 0.4823
[Tue Jun 25 12:02:04 2024] >> testing accuracy: 0.4374
[Tue Jun 25 12:02:23 2024] >> training [022]: 0.4896
[Tue Jun 25 12:02:25 2024] >> testing accuracy: 0.4298
[Tue Jun 25 12:02:44 2024] >> training [023]: 0.4979
[Tue Jun 25 12:02:45 2024] >> testing accuracy: 0.4562
[Tue Jun 25 12:03:04 2024] >> training [024]: 0.5056
[Tue Jun 25 12:03:06 2024] >> testing accuracy: 0.4551
[Tue Jun 25 12:03:25 2024] >> training [025]: 0.5125
[Tue Jun 25 12:03:27 2024] >> testing accuracy: 0.4625
[Tue Jun 25 12:03:46 2024] >> training [026]: 0.5187
[Tue Jun 25 12:03:48 2024] >> testing accuracy: 0.451
[Tue Jun 25 12:04:06 2024] >> training [027]: 0.5219
[Tue Jun 25 12:04:08 2024] >> testing accuracy: 0.4506
[Tue Jun 25 12:04:27 2024] >> training [028]: 0.5318
[Tue Jun 25 12:04:29 2024] >> testing accuracy: 0.4671
[Tue Jun 25 12:04:48 2024] >> training [029]: 0.5367
[Tue Jun 25 12:04:50 2024] >> testing accuracy: 0.4775
[Tue Jun 25 12:05:08 2024] >> training [030]: 0.5462
[Tue Jun 25 12:05:10 2024] >> testing accuracy: 0.4787
[Tue Jun 25 12:05:29 2024] >> training [031]: 0.5484
[Tue Jun 25 12:05:31 2024] >> testing accuracy: 0.4709
[Tue Jun 25 12:05:49 2024] >> training [032]: 0.5578
[Tue Jun 25 12:05:51 2024] >> testing accuracy: 0.4715
[Tue Jun 25 12:06:10 2024] >> training [033]: 0.5579
[Tue Jun 25 12:06:12 2024] >> testing accuracy: 0.4817
[Tue Jun 25 12:06:31 2024] >> training [034]: 0.5651
[Tue Jun 25 12:06:33 2024] >> testing accuracy: 0.4833
[Tue Jun 25 12:06:52 2024] >> training [035]: 0.5731
[Tue Jun 25 12:06:53 2024] >> testing accuracy: 0.4955
[Tue Jun 25 12:07:12 2024] >> training [036]: 0.5791
[Tue Jun 25 12:07:14 2024] >> testing accuracy: 0.4803
[Tue Jun 25 12:07:33 2024] >> training [037]: 0.5806
[Tue Jun 25 12:07:35 2024] >> testing accuracy: 0.4891
[Tue Jun 25 12:07:54 2024] >> training [038]: 0.5916
