[Mon Aug 11 15:47:52 2025] >> 
[Mon Aug 11 15:47:52 2025] >> PROGRAM START
[Mon Aug 11 15:47:52 2025] >> TRAIN FLAG: False
[Mon Aug 11 15:47:52 2025] >> DATA SET: Cifar100
[Mon Aug 11 15:47:52 2025] >> default_manipulate_range: 
[]
[Mon Aug 11 15:47:52 2025] >> error_in_time: 
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0001, 0.0001, 0.0002, 0.0004, 0.0008, 0.0008, 0.0009, 0.001, 0.0011, 0.0017, 0.0017, 0.0017, 0.002, 0.0022, 0.0024, 0.0026, 0.0028, 0.003, 0.0032, 0.0034, 0.0039, 0.0041, 0.0041, 0.0045, 0.0048, 0.0052, 0.0055, 0.0058, 0.0062, 0.0065, 0.0072, 0.0078, 0.0084, 0.009, 0.0094, 0.0095, 0.0099, 0.0101, 0.0111, 0.0118, 0.0125, 0.0127, 0.013, 0.0133, 0.0139, 0.0141, 0.0147, 0.0148, 0.0154, 0.0158, 0.016, 0.0165, 0.0167, 0.0174, 0.0178, 0.0183, 0.0185, 0.0193, 0.0197, 0.0204, 0.0207, 0.0209, 0.0213, 0.0217, 0.0223, 0.0225, 0.0231, 0.0236, 0.0244, 0.0247, 0.0248, 0.0253, 0.0257, 0.0259, 0.0265, 0.0273, 0.0279, 0.0283, 0.0289, 0.0291, 0.0293, 0.0298, 0.0303, 0.0309, 0.0311, 0.032, 0.0325, 0.033, 0.0335, 0.0337, 0.0344, 0.0349, 0.0355, 0.0365, 0.0371, 0.0373]
[Mon Aug 11 15:47:52 2025] >> ---MAIN INFERENCE---
[Mon Aug 11 15:47:52 2025] >> network: darknetManiCifar100
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
[Mon Aug 11 15:47:55 2025] >> testing accuracy: 0.5719
