[Mon Aug 11 15:59:48 2025] >> model: ./modeloutput/GNN-HCI1_batch4.pth
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
