[Tue Jan  6 12:58:18 2026] >> [t:  0] (r:-0.459), [f:   800/1000], inf[4.4e+14], comp[2.1e+14], Q(358, 2, 0, 0), Trans[(1024, 4, 8) -> 29.369302611446624]
[Tue Jan  6 12:58:18 2026] >> [t:  1] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(358, 2, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t:  2] (r:-0.459), [f:   800/1000], inf[4.4e+14], comp[2.1e+14], Q(358, 1, 0, 0), Trans[(1024, 4, 8) -> 29.369302611446624]
[Tue Jan  6 12:58:18 2026] >> [t:  3] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(358, 1, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t:  4] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(358, 1, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t:  5] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(358, 0, 1, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t:  6] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(358, 0, 1, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t:  7] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(358, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t:  8] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(358, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t:  9] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(357, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 10] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(356, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 11] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(356, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 12] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(356, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 13] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(356, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 14] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(356, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 15] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(355, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 16] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(355, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 17] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(355, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 18] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(354, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 19] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(354, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 20] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(354, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 21] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(353, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 22] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(351, 1, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 23] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(350, 1, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 24] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(348, 2, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 25] (r:-0.459), [f:   800/1000], inf[4.4e+14], comp[2.1e+14], Q(348, 0, 0, 0), Trans[(1024, 4, 8) -> 29.369302611446624]
[Tue Jan  6 12:58:18 2026] >> [t: 26] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(348, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 27] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(348, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 28] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(348, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 29] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(348, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 30] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(348, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 31] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(348, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 32] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(348, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 33] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(347, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 34] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(346, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 35] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(346, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 36] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(345, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 37] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(345, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 38] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(345, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 39] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(345, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 40] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(345, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 41] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(342, 2, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 42] (r:-0.459), [f:   800/1000], inf[4.4e+14], comp[2.1e+14], Q(341, 1, 0, 0), Trans[(1024, 4, 8) -> 29.369302611446624]
[Tue Jan  6 12:58:18 2026] >> [t: 43] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(341, 1, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 44] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(341, 1, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 45] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(341, 1, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 46] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(341, 1, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 47] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(340, 1, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 48] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(340, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 49] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(340, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 50] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(340, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 51] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(339, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 52] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(339, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 53] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(338, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 54] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(338, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 55] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(337, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 56] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(337, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
[Tue Jan  6 12:58:18 2026] >> [t: 57] (r:-0.100), [f:   300/1000], inf[6.2e+13], comp[7.9e+13], Q(336, 0, 0, 0), Trans[(256, 4, 8) -> 47.86813294344155]
